"X","Y","Z"
543072.86,4316086.99,682.5
543179.8,4316020.64,682.5
543237.38,4316000.09,682.5
545699.11,4316067.72,682.5
545637.95,4316096.27,682.5
545582,4316071.64,682.5
545571.29,4316047.03,682.5
544627.14,4316030.85,682.5
544611.31,4316031.28,682.5
544957.24,4316068.47,682.5
544974.07,4316090.89,682.5
545001.01,4316107.02,682.5
545019.78,4316121.55,682.5
545037.68,4316135.47,682.5
545037.97,4316141.47,682.5
545037.4,4316150.96,682.5
545036.33,4316176.95,682.5
545042.69,4316188.47,682.5
545036.18,4316245.82,682.5
545035.77,4316249.45,682.5
545035.36,4316250.64,682.5
545034.63,4316251.11,682.5
544996.6,4316286.94,682.5
544937.53,4316305.5,682.5
544910.27,4316351.05,682.5
544851.65,4316363.81,682.5
544876.61,4316407.31,682.5
544867.05,4316482.9,682.5
544869.5,4316524.93,682.5
544881.81,4316555.15,682.5
544879.97,4316616.04,682.5
544866.35,4316640.03,682.5
544857.51,4316653.63,682.5
544853.23,4316661.46,682.5
544837.81,4316658.9,682.5
544801.51,4316651.92,682.5
544750.67,4316653.92,682.5
544786.89,4316692.65,682.5
544795.53,4316714.77,682.5
544817.33,4316728.2,682.5
544844.04,4316745.52,682.5
544858.61,4316756.94,682.5
544863.58,4316757.68,682.5
544864.15,4316759.47,682.5
544864.6,4316763.86,682.5
544863.32,4316770.17,682.5
544858.67,4316769.17,682.5
544846.25,4316820.7,682.5
544843.71,4316824.85,682.5
544839.57,4316834.14,682.5
544836.53,4316839.34,682.5
544828.62,4316844.85,682.5
544788.28,4316861.2,682.5
544786.6,4316862.4,682.5
544780.45,4316864.22,682.5
544736.48,4316877.24,682.5
544671.97,4316876.79,682.5
544676.05,4316840.9,682.5
544703.04,4316824.49,682.5
544736.27,4316805.39,682.5
544750.18,4316754.25,682.5
544718.68,4316733.98,682.5
544695.68,4316664.72,682.5
544689.9,4316639.19,682.5
544681.76,4316625.17,682.5
544678.79,4316586.57,682.5
544680.2,4316532.27,682.5
544705.75,4316484.62,682.5
544704.59,4316427.33,682.5
544723.33,4316391.74,682.5
544725.83,4316260.92,682.5
544726.69,4316215.9,682.5
544739.38,4316155.33,682.5
544606.11,4316072.75,682.5
544567,4316049.68,682.5
544566.56,4316039.08,682.5
544562.85,4316033.35,682.5
544555.96,4316031.6,682.5
544562.96,4316030.51,682.5
545705.65,4316219.17,682.5
545710.23,4316209.89,682.5
545716.26,4316203.38,682.5
545718.8,4316210.8,682.5
545718.3,4316222.58,682.5
545690.74,4316293.11,682.5
545515.11,4316702.37,682.5
545509.44,4316739.84,682.5
545526.46,4316740.5,682.5
545536.08,4316735.33,682.5
545538.21,4316727.73,682.5
545601.95,4316680.99,682.5
545571.87,4316664.01,682.5
544678.44,4316985.62,682.5
544678.58,4316985.68,682.5
544678.59,4316985.74,682.5
544717.2,4317017.27,682.5
544738.56,4317034.42,682.5
544756.53,4317049.76,682.5
544751.86,4317100.16,682.5
544722.12,4317093.37,682.5
544697.13,4317086.93,682.5
544692.99,4317064.45,682.5
544690,4317034.59,682.5
544687.71,4317028.17,682.5
544678.47,4316985.75,682.5
545673.57,4316355.66,682.5
545672.09,4316353.58,682.5
545625.75,4316342.51,682.5
545624.2,4316368.34,682.5
545626.37,4316382.18,682.5
545631.52,4316414.32,682.5
545640.09,4316430.63,682.5
545687.04,4316441.69,682.5
545710.64,4316427.72,682.5
545712.87,4316387.19,682.5
542598.95,4317020.47,685
542624.87,4316835.23,685
542663.58,4316808.93,685
542776.11,4316936.93,685
542801.99,4316915.46,685
542811.77,4316895.09,685
542819.82,4316861.28,685
542834.89,4316839.81,685
542845.7,4316794.59,685
542839.87,4316673.7,685
542845.75,4316502.24,685
542937.87,4316330.49,685
542976.82,4316308.79,685
543006.31,4316271.94,685
542991.07,4316250.17,685
543087.92,4316122.34,685
543236.09,4316030.41,685
543315.86,4316001.94,685
545736.46,4316073.77,685
545649.46,4316114.38,685
545569.89,4316079.35,685
545554.66,4316044.33,685
544763.97,4316030.78,685
544702.68,4316032.45,685
545001.53,4316064.58,685
545021.58,4316091.27,685
545022.67,4316092.27,685
545023.58,4316099.01,685
545055.12,4316123.52,685
545056.14,4316144.51,685
545054.15,4316177.67,685
545054.06,4316179.94,685
545054.62,4316180.95,685
545054.04,4316185.97,685
545047.83,4316241.83,685
545041.39,4316260.13,685
545030.25,4316267.37,685
545001.43,4316294.53,685
544956.65,4316308.59,685
544921.08,4316368.03,685
544902.59,4316372.06,685
544910.46,4316385.77,685
544900.24,4316466.62,685
544910.45,4316498.88,685
544895.52,4316515.41,685
544908.37,4316545.73,685
544908.97,4316547.85,685
544910.01,4316552.81,685
544910.75,4316558.43,685
544919.36,4316606.3,685
544904.73,4316624.96,685
544900.66,4316635.06,685
544885.63,4316658.2,685
544869.27,4316688.08,685
544810.45,4316678.32,685
544803.13,4316676.91,685
544792.88,4316677.31,685
544800.18,4316685.12,685
544801.93,4316689.58,685
544812.03,4316695.8,685
544860.54,4316700.32,685
544845.69,4316721.06,685
544872.19,4316741.84,685
544875,4316742.25,685
544877.2,4316749.3,685
544878.99,4316766.53,685
544873.96,4316791.32,685
544872.44,4316790.99,685
544868.39,4316807.8,685
544867.56,4316809.16,685
544855.21,4316836.88,685
544846.12,4316852.4,685
544822.52,4316868.87,685
544799.93,4316878.02,685
544778.29,4316893.42,685
544751.77,4316901.26,685
544725.1,4316951.01,685
544658.77,4316900.61,685
544634.8,4316900.44,685
544642.2,4316835.41,685
544691.09,4316805.69,685
544713.42,4316792.85,685
544722.78,4316758.47,685
544701.6,4316744.84,685
544686.14,4316698.28,685
544674.92,4316648.73,685
544659.11,4316621.5,685
544653.54,4316549.23,685
544654.12,4316547.8,685
544689.42,4316481.97,685
544688.04,4316414.18,685
544683.06,4316408.73,685
544681.65,4316192.28,685
544681.43,4316192.2,685
544681.02,4316192.02,685
544531.2,4316103.65,685
544529.49,4316062.67,685
544515.17,4316040.46,685
544488.5,4316033.71,685
544515.57,4316029.47,685
544688.29,4317314.67,685
544696.87,4317313.84,685
544697.2,4317313.9,685
544697.4,4317313.76,685
544697.42,4317313.48,685
544701,4317306.87,685
544709.14,4317264.94,685
544688.97,4317304.81,685
544683.62,4317310.05,685
545645.44,4316257.48,685
545686.98,4316173.35,685
545741.58,4316114.32,685
545764.69,4316181.61,685
545760.15,4316288.36,685
545755.34,4316300.65,685
545760.58,4316328.63,685
545760.75,4316329.42,685
545762.18,4316329.8,685
545767.54,4316311.23,685
545791.53,4316305.08,685
545784.57,4316402.2,685
545781.14,4316407.77,685
545731.21,4316437.7,685
545724.43,4316443.86,685
545698.42,4316459.25,685
545644.84,4316490.92,685
545630.59,4316504.63,685
545631.15,4316492.84,685
545631.28,4316490.04,685
545623.48,4316441.33,685
545623.3,4316440.22,685
545615.17,4316389.44,685
545611.58,4316366.54,685
545613.52,4316334.13,685
545613.38,4316330.8,685
545620.59,4316301.42,685
545637.73,4316295.72,685
545507.69,4316690.71,685
545499.29,4316746.3,685
545524.53,4316747.28,685
545538.8,4316739.61,685
545541.96,4316728.34,685
545620.39,4316670.82,685
545622.24,4316670.97,685
545623.53,4316669.33,685
545626.15,4316612.27,685
545626.42,4316612.06,685
545625.57,4316610.27,685
545620.62,4316614.95,685
545602.36,4316639.72,685
545591.9,4316633.81,685
544778.67,4317036.01,685
544768.38,4317027.41,685
544745.84,4317008.17,685
544739.58,4317003.14,685
544728.26,4316993.89,685
544721.11,4316958.49,685
544635.89,4316918.73,685
544654.02,4317001.3,685
544660.76,4317032.26,685
544666.88,4317049.41,685
544671.23,4317092.85,685
544665.7,4317093.01,685
544666.5,4317094.88,685
544670.25,4317104.04,685
544677.03,4317121.13,685
544694.3,4317110.2,685
544715.84,4317115.75,685
544733.92,4317119.88,685
544770.08,4317129.24,685
544770.95,4317096.24,685
544777.58,4317041.67,685
544777.97,4317038.58,685
544840.18,4317119.13,685
544835.07,4317113.36,685
544832.52,4317104.02,685
544818.57,4317102.38,685
544799.99,4317135.11,685
544833.35,4317124.48,685
542591.1,4317105.59,687.5
542619.8,4316900.49,687.5
542662.66,4316871.37,687.5
542766.26,4316989.22,687.5
542804.3,4316957.67,687.5
542818.67,4316927.75,687.5
542830.5,4316878.06,687.5
542852.64,4316846.52,687.5
542868.52,4316780.07,687.5
542859.96,4316602.43,687.5
542862.48,4316528.99,687.5
542901.94,4316455.43,687.5
543026.74,4316385.87,687.5
543070.8,4316330.83,687.5
543093.86,4316274,687.5
543092.63,4316226.91,687.5
543072.41,4316198.03,687.5
543102.98,4316157.68,687.5
543292.37,4316040.18,687.5
543394.34,4316003.79,687.5
545538.03,4316041.64,687.5
545557.79,4316087.05,687.5
545660.98,4316132.48,687.5
545672.87,4316126.93,687.5
545663.74,4316136.81,687.5
545657.45,4316149.53,687.5
545605.86,4316245.63,687.5
545612.55,4316273.49,687.5
545612.57,4316278.38,687.5
545599.77,4316330.59,687.5
545600.28,4316342.71,687.5
545598.96,4316364.73,687.5
545603.97,4316396.71,687.5
545609.24,4316429.6,687.5
545612.26,4316448.43,687.5
545618.59,4316487.99,687.5
545617.95,4316501.54,687.5
545615.24,4316558.6,687.5
545684.21,4316492.25,687.5
545710.27,4316476.85,687.5
545722.92,4316469.36,687.5
545745.63,4316448.71,687.5
545775.35,4316430.89,687.5
545785.38,4316414.61,687.5
545803.34,4316164.04,687.5
544900.8,4316030.72,687.5
544794.06,4316033.62,687.5
545045.83,4316060.69,687.5
545062.72,4316083.17,687.5
545066.38,4316086.55,687.5
545069.43,4316109.14,687.5
545072.57,4316111.58,687.5
545074.3,4316147.55,687.5
545073,4316169.31,687.5
545064.39,4316193.72,687.5
545059.88,4316234.21,687.5
545047.43,4316269.63,687.5
545025.88,4316283.62,687.5
545006.25,4316302.11,687.5
544975.77,4316311.69,687.5
544944.32,4316364.23,687.5
544995.48,4316387.72,687.5
544996.58,4316391.3,687.5
545007.94,4316437.34,687.5
544982.67,4316465.16,687.5
544970.83,4316478.43,687.5
544931.87,4316521.55,687.5
544937.41,4316534.63,687.5
544938.21,4316537.69,687.5
544947.2,4316561.22,687.5
544955.88,4316583.54,687.5
544945.73,4316606.57,687.5
544928.24,4316628.87,687.5
544915.96,4316659.36,687.5
544913.75,4316662.76,687.5
544910.52,4316668.66,687.5
544893.35,4316696.9,687.5
544885.13,4316714.68,687.5
544879.83,4316722.08,687.5
544885.78,4316726.74,687.5
544886.41,4316726.83,687.5
544890.25,4316739.13,687.5
544893.38,4316769.2,687.5
544887.96,4316795.93,687.5
544887.81,4316802.97,687.5
544883.47,4316811.3,687.5
544870.86,4316839.62,687.5
544855.72,4316865.47,687.5
544816.41,4316892.88,687.5
544811.58,4316894.85,687.5
544769.99,4316924.44,687.5
544767.15,4316925.28,687.5
544763.86,4316931.41,687.5
544770.29,4316964.58,687.5
544773.7,4316981.39,687.5
544777.73,4317001.89,687.5
544800.99,4317021.32,687.5
544795.56,4317041.27,687.5
544792.57,4317065.15,687.5
544790.26,4317084.17,687.5
544789.4,4317117.06,687.5
544806.85,4317086.31,687.5
544835.97,4317089.74,687.5
544841.28,4317109.23,687.5
544851.94,4317121.26,687.5
544837.7,4317132.44,687.5
544788.8,4317148.02,687.5
544786.8,4317155.94,687.5
544752.49,4317177.98,687.5
544740.84,4317183.08,687.5
544729.71,4317235.84,687.5
544728.52,4317246.27,687.5
544723.22,4317255.13,687.5
544714.61,4317299.49,687.5
544712.23,4317303.9,687.5
544711.02,4317315.96,687.5
544702.34,4317322.17,687.5
544687.85,4317319.48,687.5
544680.97,4317320.14,687.5
544668.61,4317307.92,687.5
544682.76,4317294.04,687.5
544703.9,4317252.25,687.5
544692.65,4317240.62,687.5
544680.26,4317210.51,687.5
544663.23,4317169.85,687.5
544661.25,4317164.28,687.5
544652.74,4317144.77,687.5
544643.38,4317121.17,687.5
544632.53,4317094.68,687.5
544630.23,4317089.26,687.5
544646.23,4317088.81,687.5
544643.76,4317064.23,687.5
544633.82,4317036.34,687.5
544629.58,4317016.86,687.5
544614.75,4316949.33,687.5
544605.35,4316919.18,687.5
544603.95,4316868.53,687.5
544608.34,4316829.93,687.5
544679.13,4316786.9,687.5
544690.58,4316780.32,687.5
544695.37,4316762.7,687.5
544684.52,4316755.71,687.5
544676.59,4316731.84,687.5
544659.93,4316658.26,687.5
544636.45,4316617.83,687.5
544632.22,4316562.79,687.5
544644.49,4316532.66,687.5
544673.08,4316479.33,687.5
544671.97,4316424.41,687.5
544653.25,4316403.9,687.5
544652.16,4316236.75,687.5
544626.44,4316227.18,687.5
544579.39,4316207.18,687.5
544495.4,4316157.63,687.5
544492.42,4316086.25,687.5
544467.48,4316047.57,687.5
544421.03,4316035.82,687.5
544468.18,4316028.44,687.5
545497.53,4316697.23,687.5
545493.6,4316687.89,687.5
545499.81,4316678.33,687.5
545577.2,4316625.72,687.5
545583.56,4316619.79,687.5
545614.52,4316561.15,687.5
545615.15,4316560.55,687.5
545639.51,4316611.95,687.5
545631.7,4316618.03,687.5
545629.3,4316670.26,687.5
545625.15,4316675.54,687.5
545619.18,4316675.07,687.5
545545.72,4316728.95,687.5
545541.53,4316743.89,687.5
545522.6,4316754.06,687.5
545489.13,4316752.76,687.5
542583.25,4317190.71,690
542614.73,4316965.75,690
542661.74,4316933.81,690
542756.42,4317041.51,690
542806.61,4316999.88,690
542825.56,4316960.4,690
542841.17,4316894.84,690
542870.38,4316853.22,690
542889.89,4316771.63,690
542891.49,4316768.6,690
542895.31,4316763.03,690
542887.28,4316555.61,690
543058.55,4316453.96,690
543071.57,4316441.03,690
543081.3,4316418.23,690
543134.71,4316286.62,690
543132.42,4316199.41,690
543267.28,4316237.16,690
543324.98,4316203.43,690
543338.31,4316078.36,690
543358.35,4316066.52,690
543377.94,4316054.26,690
543369.12,4316042.65,690
543472.81,4316005.65,690
545521.4,4316038.95,690
545545.68,4316094.75,690
545618.77,4316126.93,690
545592.28,4316178.2,690
545578.86,4316203.19,690
545596.32,4316275.91,690
545596.38,4316288.68,690
545586.16,4316330.38,690
545587.03,4316351.3,690
545586.34,4316362.92,690
545592.77,4316403.97,690
545595.17,4316418.98,690
545601.03,4316455.52,690
545605.9,4316485.93,690
545604.75,4316510.24,690
545604.57,4316514.03,690
545597.04,4316556.72,690
545569.38,4316609.11,690
545555.34,4316622.18,690
545491.64,4316665.49,690
545475.32,4316690.62,690
545485.64,4316715.16,690
545478.98,4316759.21,690
545520.67,4316760.85,690
545544.25,4316748.17,690
545549.47,4316729.56,690
545617.97,4316679.32,690
545628.05,4316680.11,690
545635.07,4316671.2,690
545637.24,4316623.78,690
545652.6,4316611.84,690
545632.25,4316568.89,690
545721.38,4316494.88,690
545722.09,4316493.59,690
545726.1,4316490.6,690
545760.05,4316459.72,690
545769.56,4316454.02,690
545786.19,4316427.02,690
545801.65,4316211.32,690
545037.63,4316030.66,690
544885.44,4316034.79,690
545090.13,4316056.8,690
545103.86,4316075.08,690
545110.09,4316080.83,690
545112.61,4316099.48,690
545119.8,4316105.1,690
545147.47,4316122.01,690
545147.01,4316123.77,690
545142.75,4316124.91,690
545091.87,4316138.15,690
545092.47,4316150.58,690
545092.07,4316157.23,690
545073.93,4316208.65,690
545071.93,4316226.59,690
545053.47,4316279.12,690
545021.5,4316299.88,690
545011.08,4316309.7,690
544994.88,4316314.78,690
544978.18,4316342.69,690
545006.37,4316355.63,690
545030.51,4316366.72,690
545054.31,4316377.64,690
545075.12,4316393.79,690
545073.58,4316399.74,690
545071.76,4316405.64,690
545042.66,4316431.99,690
545037.2,4316450.49,690
545005.59,4316485.68,690
544999.43,4316492.46,690
544986.16,4316507.34,690
544983.67,4316565.65,690
544983.44,4316566.72,690
544984,4316567.74,690
544983.26,4316567.15,690
544957.64,4316625.27,690
544951.75,4316632.79,690
544946.54,4316645.72,690
544935.38,4316666.26,690
544923.56,4316671.41,690
544916.88,4316701.23,690
544902.96,4316729.84,690
544904.83,4316743.64,690
544907.78,4316771.87,690
544905.1,4316785.02,690
544904.67,4316805.7,690
544891.92,4316830.2,690
544886.5,4316842.36,690
544876.81,4316858.9,690
544868.76,4316885.17,690
544843.21,4316904.05,690
544822.8,4316912.32,690
544794.75,4316932.33,690
544805.61,4316961.11,690
544821.84,4317002.97,690
544821.8,4317007.67,690
544822,4317011.47,690
544813.15,4317043.95,690
544809.65,4317071.95,690
544839.42,4317075.46,690
544847.5,4317105.1,690
544863.71,4317123.39,690
544842.05,4317140.39,690
544808.24,4317151.17,690
544801.28,4317178.71,690
544792.12,4317184.59,690
544752.62,4317201.9,690
544747.89,4317224.3,690
544745.09,4317249.04,690
544732.5,4317270.05,690
544728.22,4317292.12,690
544727.03,4317294.31,690
544724.64,4317318.17,690
544707.49,4317330.44,690
544678.83,4317325.11,690
544673.64,4317325.62,690
544653.6,4317305.79,690
544676.56,4317283.28,690
544686.7,4317263.23,690
544660.01,4317235.64,690
544656.2,4317226.37,690
544650.95,4317213.86,690
544634.72,4317168.31,690
544620.51,4317135.72,690
544608.25,4317108.55,690
544605.32,4317102.06,690
544583.64,4317091.27,690
544614.29,4317084.97,690
544621.22,4317084.77,690
544620.65,4317079.06,690
544606.88,4317040.43,690
544605.13,4317032.41,690
544599.02,4317004.61,690
544577.86,4316936.67,690
544574.88,4316828.9,690
544575.19,4316825.27,690
544575.25,4316824.57,690
544574.7,4316822.55,690
544619.11,4316797.33,690
544667.17,4316768.11,690
544667.73,4316767.78,690
544667.97,4316766.92,690
544667.44,4316766.58,690
544667.05,4316765.4,690
544644.95,4316667.79,690
544613.8,4316614.17,690
544610.89,4316576.36,690
544634.86,4316517.52,690
544656.75,4316476.68,690
544655.9,4316434.63,690
544623.44,4316399.07,690
544622.67,4316281.22,690
544571.45,4316262.16,690
544477.77,4316222.33,690
544459.6,4316211.61,690
544455.36,4316109.83,690
544419.79,4316054.68,690
544353.57,4316037.92,690
544420.79,4316027.4,690
544416.64,4316574.1,690
544413.1,4316581.66,690
544415.88,4316587.33,690
544447.99,4316623.39,690
544436.16,4316574.43,690
544433.44,4316544.39,690
544431.28,4318284.34,690
544430.9,4318285.08,690
544432.03,4318284.84,690
544432.27,4318284.58,690
544431.59,4318284.31,690
542575.4,4317275.83,692.5
542609.65,4317031.01,692.5
542660.82,4316996.25,692.5
542746.58,4317093.8,692.5
542808.92,4317042.1,692.5
542832.46,4316993.06,692.5
542851.85,4316911.63,692.5
542888.13,4316859.92,692.5
542903.96,4316793.74,692.5
542915.2,4316772.44,692.5
542942.03,4316733.31,692.5
542936.16,4316581.83,692.5
543061.24,4316507.6,692.5
543108.23,4316460.94,692.5
543143.31,4316378.71,692.5
543175.56,4316299.25,692.5
543174.18,4316246.59,692.5
543297.18,4316281.02,692.5
543354.96,4316303.87,692.5
543353,4316265.59,692.5
543365.8,4316237.51,692.5
543376.41,4316138.03,692.5
543431.67,4316105.4,692.5
543485.69,4316071.59,692.5
543461.37,4316039.59,692.5
543551.29,4316007.5,692.5
545504.77,4316036.25,692.5
545533.57,4316102.46,692.5
545571.94,4316119.35,692.5
545551.14,4316159.61,692.5
545561.8,4316197.59,692.5
545562.47,4316204.95,692.5
545580.09,4316278.33,692.5
545580.2,4316298.98,692.5
545572.55,4316330.17,692.5
545573.79,4316359.88,692.5
545573.71,4316361.12,692.5
545576.97,4316381.86,692.5
545581.33,4316409.74,692.5
545581.57,4316411.23,692.5
545582.1,4316414.53,692.5
545589.8,4316462.62,692.5
545593.21,4316483.88,692.5
545592.36,4316501.75,692.5
545585.72,4316514.42,692.5
545578.78,4316553.76,692.5
545555.2,4316598.42,692.5
545533.48,4316618.64,692.5
545483.47,4316652.64,692.5
545457.04,4316693.35,692.5
545473.76,4316733.08,692.5
545468.83,4316765.67,692.5
545518.74,4316767.63,692.5
545546.97,4316752.45,692.5
545553.22,4316730.16,692.5
545616.76,4316683.56,692.5
545630.96,4316684.68,692.5
545640.84,4316672.13,692.5
545642.79,4316629.54,692.5
545665.7,4316611.73,692.5
545649.87,4316578.34,692.5
545719.16,4316520.81,692.5
545733.26,4316495.24,692.5
545769.09,4316468.5,692.5
545787,4316439.43,692.5
545799.96,4316258.6,692.5
545174.46,4316030.59,692.5
544976.81,4316035.96,692.5
545134.43,4316052.91,692.5
545145,4316066.99,692.5
545153.81,4316075.11,692.5
545155.46,4316087.35,692.5
545170.72,4316099.3,692.5
545179.46,4316104.64,692.5
545166.49,4316154.27,692.5
545148.98,4316158.95,692.5
545111.41,4316169.5,692.5
545091.11,4316214.52,692.5
545087.91,4316221.51,692.5
545083.47,4316223.6,692.5
545069.79,4316259.37,692.5
545059.51,4316288.62,692.5
545017.12,4316316.13,692.5
545015.9,4316317.28,692.5
545014,4316317.88,692.5
545012.05,4316321.15,692.5
545015.35,4316322.67,692.5
545020.97,4316325.25,692.5
545062.47,4316345.73,692.5
545069.78,4316363.11,692.5
545093.35,4316381.4,692.5
545087.97,4316402.07,692.5
545081.67,4316422.57,692.5
545066.88,4316435.96,692.5
545059.62,4316460.54,692.5
545052.32,4316473.09,692.5
545022.44,4316500.23,692.5
545016.78,4316519.11,692.5
545010.42,4316548.85,692.5
545020.19,4316566.54,692.5
